Timestamp,Key,Value
0.000000000,/AMPER/Metadata/SchemaVersion,"1"
0.000000000,/AMPER/Metadata/LibraryVersion,"0.1.0-rc.1"
0.000000000,/AMPER/Metadata/SessionId,"fixture-session"
0.000000000,/AMPER/Metadata/HardwarePlatform,"FTC_REV_HUB"
0.000000000,/AMPER/System/BusVoltageVolts,12.730000
0.000000000,/AMPER/System/FilteredVoltageVolts,12.730000
0.000000000,/AMPER/System/MinimumVoltageVolts,12.730000
0.000000000,/AMPER/System/MeasurementValidity,"VALID"
0.000000000,/AMPER/System/PowerState,"NORMAL"
0.000000000,/AMPER/Hubs/Control_Hub/VoltageVolts,12.730000
0.000000000,/AMPER/Hubs/Control_Hub/SampleAgeSeconds,0.000000
0.000000000,/AMPER/Motors/frontLeft/Command,0.000000
0.000000000,/AMPER/Motors/frontLeft/AppliedCommand,0.000000
0.000000000,/AMPER/Mechanisms/frontLeft/RequestedEffort,0.000000
0.000000000,/AMPER/Mechanisms/frontLeft/GrantedEffort,0.000000
0.000000000,/AMPER/Mechanisms/frontLeft/Constrained,false
0.000000000,/AMPER/Motors/frontLeft/VelocityTicksPerSecond,0.000000
0.000000000,/AMPER/Motors/frontLeft/StallSuspected,false
0.000000000,/AMPER/Performance/UpdateDurationSeconds,0.001200
0.000000000,/AMPER/Performance/DroppedRecords,0
0.020000000,/AMPER/Metadata/SchemaVersion,"1"
0.020000000,/AMPER/Metadata/LibraryVersion,"0.1.0-rc.1"
0.020000000,/AMPER/Metadata/SessionId,"fixture-session"
0.020000000,/AMPER/Metadata/HardwarePlatform,"FTC_REV_HUB"
0.020000000,/AMPER/System/BusVoltageVolts,12.410000
0.020000000,/AMPER/System/FilteredVoltageVolts,12.500000
0.020000000,/AMPER/System/MinimumVoltageVolts,12.100000
0.020000000,/AMPER/System/MeasurementValidity,"VALID"
0.020000000,/AMPER/System/PowerState,"NORMAL"
0.020000000,/AMPER/Hubs/Control_Hub/VoltageVolts,12.410000
0.020000000,/AMPER/Hubs/Control_Hub/SampleAgeSeconds,0.000000
0.020000000,/AMPER/Motors/frontLeft/Command,0.500000
0.020000000,/AMPER/Motors/frontLeft/AppliedCommand,0.500000
0.020000000,/AMPER/Mechanisms/frontLeft/RequestedEffort,0.500000
0.020000000,/AMPER/Mechanisms/frontLeft/GrantedEffort,0.500000
0.020000000,/AMPER/Mechanisms/frontLeft/Constrained,false
0.020000000,/AMPER/Motors/frontLeft/CurrentAmps,1.820000
0.020000000,/AMPER/Motors/frontLeft/VelocityTicksPerSecond,400.000000
0.020000000,/AMPER/Motors/frontLeft/CurrentSampleAgeSeconds,0.000000
